state,gender,year,name,number
IL,F,2013,Zoey,227
IL,F,2013,Arianna,180
IN,F,2013,Clara,69
IN,F,2013,Alice,67
IN,F,2013,Khloe,89
IN,F,2013,Abigail,257
IN,F,2013,Makayla,62
KS,F,2013,Amelia,89
KY,F,2013,Avery,171
KY,F,2013,Kylie,93
KY,F,2013,Piper,67
LA,F,2013,Faith,61
LA,F,2013,Isabella,195
LA,F,2013,Emily,155
LA,F,2013,Mia,106
LA,F,2013,Vivian,43
MA,F,2013,Avery,239
MA,F,2013,Adriana,66
MD,F,2013,Ruby,42
MD,F,2013,Isabelle,67
MD,F,2013,Makenzie,42
MD,F,2013,Alexis,72
MI,F,2013,Paige,108
MI,F,2013,Kyleigh,37
MI,F,2013,Emilia,56
MI,F,2013,Genevieve,52
MI,F,2013,Elise,83
MI,F,2013,Mckenna,53
MI,F,2013,Adelyn,49
MI,F,2013,Sara,54
MI,F,2013,Mary,73
MN,F,2013,Aria,111
MN,F,2013,Hannah,146
MN,F,2013,Alice,75
MN,F,2013,Isabella,222
MN,F,2013,Natalie,142
MN,F,2013,Penelope,78
MN,F,2013,Stella,130
MN,F,2013,Peyton,92
MO,F,2013,Kinsley,52
MO,F,2013,Catherine,38
MO,F,2013,Emerson,50
MS,F,2013,Khloe,82
NC,F,2013,Katelyn,67
NC,F,2013,Kendall,72
NC,F,2013,Mikayla,38
NC,F,2013,Aaliyah,180
NC,F,2013,Clara,98
NJ,F,2013,Ava,483
NJ,F,2013,Isabel,64
NJ,F,2013,Melanie,109
NJ,F,2013,Erin,49
NJ,F,2013,Jocelyn,73
NJ,F,2013,Violet,75
NM,F,2013,Chloe,42
NV,F,2013,Allison,53
NY,F,2013,Julia,334
NY,F,2013,Chany,42
NY,F,2013,Katie,79
NY,F,2013,Camila,272
NY,F,2013,Daniela,107
NY,F,2013,Abby,56
NY,F,2013,Logan,39
NY,F,2013,Laura,68
OH,F,2013,Nyla,41
OH,F,2013,Natalie,301
OH,F,2013,Myla,55
OH,F,2013,Adalynn,119
OH,F,2013,Stella,142
OH,F,2013,Aubrey,383
OH,F,2013,Zoe,141
OK,F,2013,Hailey,45
OK,F,2013,Lilly,67
OK,F,2013,Mackenzie,47
OK,F,2013,Aurora,39
OR,F,2013,Paige,54
PA,F,2013,Aubrey,406
PA,F,2013,Josephine,89
PA,F,2013,Kayla,118
PA,F,2013,Delaney,98
PA,F,2013,Haley,71
PA,F,2013,Emery,41
