Ten_San_Pham,Tu_Gia,Den_Gia,Gia_Goc,Thuong_Hieu
Laptop ACER Aspire 5 A514-56P-55K5 (NX.KHRSV.003) (i5-1335U/RAM 16GB/Onboard/512GB SSD/ Windows 11),15790000,0,16990000,ACER
Laptop HP EliteBook 640 G10 (873H3PA) (i7-1355U/RAM 16GB/Onboard/512GB SSD/ Windows 11),24490000,0,29690000,HP
Laptop HP Probook 440 G11 - A74B5PT (Ultra 5-125U/RAM 16GB/Onboard/512GB SSD/ Windows 11),21690000,0,23390000,HP
Laptop Lenovo ThinkPad E14 Gen 5 - 21JK00H5VN (i5-13420H/RAM 16GB/Onboard/512GB SSD/ Windows 11),18990000,0,20490000,LENOVO
Laptop ASUS ExpertBook B1 B1402CBA-EB4202W (i5-1235U/RAM 16GB/Onboard/512GB SSD/ Windows 11),13690000,0,14690000,ASUS
Laptop ASUS Vivobook 15 X1504VA-NJ069W (i3-1315U/RAM 8GB/512GB SSD/ Windows 11),11090000,0,13690000,ASUS
Laptop MSI Modern 14 C13M - 608VN (i5-1335U) (Đen),13990000,0,18490000,MSI
Laptop Lenovo Yoga Slim 6 14IRH8 - 83E00008VN (i7-13700H) (Xám đen),25890000,0,26890000,LENOVO
Laptop Lenovo LOQ 15IRX9 - 83DV00D5VN (i7-13650HX) (Xám),29490000,0,32990000,LENOVO
Laptop Lenovo ThinkBook 14 G6 IRL - 21KG00BQVN (i7-1355U/RAM 16GB/Onboard/512GB SSD/ Windows 11),19990000,0,21990000,LENOVO
Laptop HP 15s-fq5144TU (7C0R8PA) (i7-1255U) (Bạc),18490000,0,22890000,HP
Laptop HP Envy x360 13-bf0113TU (7C0V8PA) (i5-1230U) (Xanh),22490000,0,28790000,HP
Laptop Asus Vivobook S3405VA-KM071W (i9-13900H) (Đen),22390000,0,26990000,ASUS
Laptop MSI Modern 15 B12MO-487VN (i7-1255U) (Đen),14990000,0,19490000,MSI
Laptop ASUS Vivobook 15X OLED S3504VA-L1227WS (i7-1360P/RAM 16GB/Onboard/512GB SSD/ Windows 11 + Office),21590000,0,25990000,ASUS
Laptop gaming MSI Cyborg 15 AI A1VEK-053VN (Ultra 7-155H/RAM 16GB/GeForce RTX 4050/512GB SSD/ Windows 11),28990000,0,30990000,MSI
Laptop ASUS VivoBook 15 OLED A1505VA-MA469W (i9-13900H/RAM 16GB/512GB SSD/ Windows 11),22690000,0,24990000,ASUS
Laptop HP Pavilion X360 14-ek2024TU - 9Z2V6PA (Core 5 120U/RAM 16GB/Onboard/512GB SSD/ Windows 11),23890000,0,31290000,HP
Laptop ACER Aspire 5 Spin 14 A5SP14-51MTN-573X (i5-1335U/RAM 16GB/512GB SSD/ Windows 11),18990000,0,20990000,ACER
Laptop HP 15s-fq5159TU (7C0S0PA) (i7-1255U) (Bạc),15690000,0,20590000,HP
Laptop gaming HP Victus 16-s0077AX (8C5N6PA) (Ryzen 7 7840HS/RAM 16GB/GeForce RTX 3050/512GB SSD/ Windows 11),26590000,0,31690000,HP
Laptop HP 14-ep0110TU (8C5K9PA) (i7-1355U/RAM 16GB/Onboard/512GB SSD/ Windows 11),19890000,0,21990000,HP
Laptop Asus Vivobook 15 OLED A1505VA-L1491W (i7-13700H) (Bạc),20090000,0,21990000,ASUS
Laptop HP Probook 450 G9 (6M0Z9PA) (i7-1255U) (Bạc),22790000,0,26990000,HP
Laptop gaming HP Victus 16-r0129TX - 8C5N4PA (i7-13700H/RAM 16GB/GeForce RTX 3050/512GB SSD/ Windows 11),28490000,0,32690000,HP
Laptop ACER Aspire 5 A514-56P-742F (NX.KHRSV.005) (i7-1355U/RAM 16GB/Onboard/512GB SSD/ Windows 11),18990000,0,19990000,ACER
Laptop HP Pavilion X360 14-ek1047TU - 80R25PA (i7-1355U),24990000,0,27290000,HP
